Job Title,Category,Education Requirement,Experience Years,Required Skills,Salary Range,cleaned_skills
Software Engineer,Technology,Bachelor's in Computer Science|Bachelor's in Engineering,2,Python|Java|C++|Git|Software Design|Problem Solving,80-150K,python java c git software design problem solving
Full Stack Developer,Technology,Diploma in IT|Bachelor's in Computer Science,2,JavaScript|React|Node.js|HTML/CSS|Database|Git,75-140K,javascript react nodejs html cs database git
Frontend Developer,Technology,Diploma in IT|Bachelor's in Computer Science,1,JavaScript|React|Vue.js|CSS|HTML|UI/UX Design,70-130K,javascript react vuejs cs html ui ux design
Backend Developer,Technology,Bachelor's in Computer Science,2,Python|Java|Node.js|Database Design|API Development|SQL,75-135K,python java nodejs database design api development sql
DevOps Engineer,Technology,Bachelor's in Computer Science|IT Certification,3,Docker|Kubernetes|AWS|Linux|CI/CD|Scripting,85-150K,docker kubernetes aws linux ci cd scripting
Cloud Architect,Technology,Bachelor's in Computer Science|Cloud Certification,5,AWS|Azure|GCP|System Design|Networking|Security,120-200K,aws azure gcp system design networking security
Data Scientist,Technology,Master's in Data Science|Bachelor's in Mathematics,2,Python|Machine Learning|Statistics|TensorFlow|SQL|Data Analysis,90-160K,python machine learning statistic tensorflow sql data analysis
Machine Learning Engineer,Technology,Master's in Computer Science|Master's in AI,3,Python|TensorFlow|PyTorch|Deep Learning|Statistics|Research,100-180K,python tensorflow pytorch deep learning statistic research
Data Engineer,Technology,Bachelor's in Computer Science,2,Python|Spark|Hadoop|SQL|Data Warehousing|ETL,85-155K,python spark hadoop sql data warehousing etl
Database Administrator,Technology,Bachelor's in IT|IT Certification,2,SQL|MongoDB|Database Optimization|Linux|Backup Recovery|Security,70-130K,sql mongodb database optimization linux backup recovery security
Systems Administrator,Technology,Bachelor's in IT|IT Certification,2,Windows Server|Linux|Networking|Security|Active Directory|Troubleshooting,65-125K,window server linux networking security active directory troubleshooting
Network Engineer,Technology,Bachelor's in IT|Networking Certification,2,Cisco|Networking|TCP/IP|Security|Routing|Configuration,70-130K,cisco networking tcp ip security routing configuration
Cybersecurity Specialist,Technology,Bachelor's in Cybersecurity|Security Certification,3,Penetration Testing|Security Protocols|Networking|Risk Analysis|Encryption|Firewalls,85-150K,penetration testing security protocol networking risk analysis encryption firewall
Security Engineer,Technology,Bachelor's in Computer Science|Security Certification,3,Security Architecture|Encryption|Networking|Linux|Risk Management|Compliance,90-160K,security architecture encryption networking linux risk management compliance
Mobile Developer Android,Technology,Bachelor's in Computer Science,2,Java|Kotlin|Android SDK|XML|REST API|Mobile Design,70-130K,java kotlin android sdk xml rest api mobile design
Mobile Developer iOS,Technology,Bachelor's in Computer Science,2,Swift|Objective-C|iOS SDK|Xcode|REST API|Mobile Design,75-135K,swift objectivec io sdk xcode rest api mobile design
Game Developer,Technology,Bachelor's in Game Development|Bachelor's in Computer Science,2,Unity|Unreal Engine|C#|C++|Game Physics|Graphics Programming,65-130K,unity unreal engine c c game physic graphic programming
QA Engineer,Technology,Bachelor's in IT|QA Certification,1,Test Automation|Selenium|Manual Testing|Bug Tracking|SQL|API Testing,50-100K,test automation selenium manual testing bug tracking sql api testing
Software Architect,Technology,Master's in Computer Science,7,System Design|Architecture Patterns|Microservices|Scalability|Leadership|Multiple Languages,130-200K,system design architecture pattern microservices scalability leadership multiple language
Technical Lead,Technology,Bachelor's in Computer Science,5,Leadership|Code Review|Mentoring|Architecture|Problem Solving|Communication,100-170K,leadership code review mentoring architecture problem solving communication
Data Analyst,Data & Analytics,Bachelor's in Mathematics|Bachelor's in Statistics,1,SQL|Python|Excel|Tableau|Data Visualization|Statistical Analysis,60-110K,sql python excel tableau data visualization statistical analysis
Business Analyst,Data & Analytics,Bachelor's in Business|Bachelor's in Computer Science,2,Requirements Gathering|SQL|Excel|Process Improvement|Documentation|Stakeholder Communication,65-120K,requirement gathering sql excel process improvement documentation stakeholder communication
BI Developer,Data & Analytics,Bachelor's in IT|Bachelor's in Statistics,2,Power BI|Tableau|SQL|ETL|Database Design|Data Visualization,70-130K,power bi tableau sql etl database design data visualization
BI Analyst,Data & Analytics,Bachelor's in Business|Bachelor's in IT,1,SQL|Tableau|Power BI|Excel|Data Analysis|Reporting,60-110K,sql tableau power bi excel data analysis reporting
Analytics Engineer,Data & Analytics,Bachelor's in Engineering|Bachelor's in Computer Science,2,SQL|Python|dbt|Data Modeling|Analytics|Cloud Platforms,75-135K,sql python dbt data modeling analytics cloud platform
Accountant,Finance & Accounting,Bachelor's in Accounting|CPA or equivalent,1,Accounting Principles|QuickBooks|Excel|Financial Analysis|Tax Knowledge|GAAP,55-100K,accounting principle quickbooks excel financial analysis tax knowledge gaap
Financial Analyst,Finance & Accounting,Bachelor's in Finance|Bachelor's in Economics,1,Financial Modeling|Excel|Python|Statistics|Valuation|Risk Analysis,65-120K,financial modeling excel python statistic valuation risk analysis
Investment Banking Analyst,Finance & Accounting,Master's in Finance|Bachelor's in Finance,2,Financial Modeling|Valuation|Excel|Research|Communication|M&A,100-200K,financial modeling valuation excel research communication
Audit Manager,Finance & Accounting,Bachelor's in Accounting|CPA,5,Audit Procedures|Internal Controls|Risk Assessment|Leadership|Compliance|Communication,90-150K,audit procedure internal control risk assessment leadership compliance communication
Tax Specialist,Finance & Accounting,Bachelor's in Accounting|CPA or Tax Certification,2,Tax Law|Tax Planning|Accounting|IRS Knowledge|Software|Compliance,65-120K,tax law tax planning accounting irs knowledge software compliance
Controller,Finance & Accounting,Master's in Finance|CPA,7,Leadership|Financial Reporting|Accounting|FP&A|Risk Management|Strategy,120-200K,leadership financial reporting accounting fpa risk management strategy
CFO,Finance & Accounting,Master's in Finance|MBA,10,Strategic Leadership|Financial Strategy|Risk Management|Board Communication|M&A|Investor Relations,150-350K,strategic leadership financial strategy risk management board communication investor relation
Budget Analyst,Finance & Accounting,Bachelor's in Finance|Bachelor's in Accounting,1,Budget Planning|Forecasting|Excel|Financial Analysis|Communication|Attention to Detail,55-100K,budget planning forecasting excel financial analysis communication attention detail
HR Manager,Human Resources,Bachelor's in HR|Bachelor's in Business,3,Recruitment|Employee Relations|Compensation|Compliance|Leadership|Communication,65-120K,recruitment employee relation compensation compliance leadership communication
Talent Acquisition Specialist,Human Resources,Bachelor's in HR|Bachelor's in Business,1,Recruitment|Networking|Interviewing|Job Posting|ATS Systems|Communication,50-90K,recruitment networking interviewing job posting at system communication
HR Business Partner,Human Resources,Bachelor's in HR|Master's in Business,4,Strategic HR|Business Acumen|Employee Relations|Coaching|Data Analysis|Leadership,75-130K,strategic hr business acumen employee relation coaching data analysis leadership
Training Specialist,Human Resources,Bachelor's in HR|Bachelor's in Education,1,Training Program Development|Presentation|eLearning|Assessment|Communication|Instructional Design,55-95K,training program development presentation elearning assessment communication instructional design
Learning & Development Manager,Human Resources,Master's in Education|Bachelor's in HR,4,Curriculum Development|Leadership|Training Design|E-Learning|Coaching|Project Management,70-125K,curriculum development leadership training design elearning coaching project management
Compensation & Benefits Manager,Human Resources,Bachelor's in HR|Bachelor's in Finance,3,Compensation Strategy|Benefits Administration|Excel|Market Analysis|Compliance|Communication,70-125K,compensation strategy benefit administration excel market analysis compliance communication
HR Operations Manager,Human Resources,Bachelor's in HR|Bachelor's in Business,3,HR Systems|Process Management|Compliance|Data Analysis|Leadership|Problem Solving,65-115K,hr system process management compliance data analysis leadership problem solving
Chief People Officer,Human Resources,Master's in Business|MBA,10,Strategic Leadership|Organizational Development|Culture Building|Change Management|Executive Communication|Vision Setting,130-250K,strategic leadership organizational development culture building change management executive communication vision setting
Marketing Manager,Marketing & Sales,Bachelor's in Marketing|Bachelor's in Business,3,Campaign Management|Brand Strategy|Analytics|Budget Management|Leadership|Communication,65-120K,campaign management brand strategy analytics budget management leadership communication
Digital Marketing Manager,Marketing & Sales,Bachelor's in Marketing|Digital Marketing Certification,2,SEO|SEM|Social Media|Analytics|Content Strategy|Email Marketing,60-110K,seo sem social medium analytics content strategy email marketing
SEO Specialist,Marketing & Sales,Bachelor's in Marketing|SEO Certification,1,SEO|Keyword Research|Technical SEO|Analytics|Content Optimization|Backlink Strategy,50-90K,seo keyword research technical seo analytics content optimization backlink strategy
Content Marketing Manager,Marketing & Sales,Bachelor's in Marketing|Bachelor's in Communications,2,Content Strategy|Writing|SEO|Analytics|Project Management|Research,55-100K,content strategy writing seo analytics project management research
Social Media Manager,Marketing & Sales,Bachelor's in Marketing|Bachelor's in Communications,1,Social Media Strategy|Content Creation|Community Management|Analytics|Copywriting|Platform Knowledge,45-85K,social medium strategy content creation community management analytics copywriting platform knowledge
Email Marketing Specialist,Marketing & Sales,Bachelor's in Marketing,1,Email Campaign Management|Segmentation|A/B Testing|Analytics|Copywriting|Automation Platforms,50-90K,email campaign management segmentation b testing analytics copywriting automation platform
Product Manager,Marketing & Sales,Bachelor's in Business|Master's in Business,3,Product Strategy|Market Analysis|User Research|Data Analysis|Leadership|Communication,90-160K,product strategy market analysis user research data analysis leadership communication
Product Marketing Manager,Marketing & Sales,Bachelor's in Marketing|Bachelor's in Business,2,Product Strategy|Market Research|Positioning|Messaging|Campaign Management|Analytics,75-130K,product strategy market research positioning messaging campaign management analytics
Sales Manager,Marketing & Sales,Bachelor's in Business|Bachelor's in Sales,3,Sales Strategy|Team Leadership|CRM|Negotiation|Target Setting|Communication,70-130K,sale strategy team leadership crm negotiation target setting communication
Sales Executive,Marketing & Sales,Bachelor's in Business|Bachelor's in Marketing,1,Selling|Negotiation|Client Relationships|CRM|Product Knowledge|Communication,50-100K,selling negotiation client relationship crm product knowledge communication
Account Executive,Marketing & Sales,Bachelor's in Business|Bachelor's in Communications,1,Account Management|Sales|Relationship Building|CRM|Negotiation|Product Knowledge,55-105K,account management sale relationship building crm negotiation product knowledge
Business Development Manager,Marketing & Sales,Bachelor's in Business|Master's in Business,3,Business Development Strategy|Networking|Sales|Negotiation|Market Analysis|Communication,70-130K,business development strategy networking sale negotiation market analysis communication
Marketing Director,Marketing & Sales,Master's in Marketing|MBA,7,Strategic Marketing|Leadership|Budget Management|Brand Strategy|Analytics|Team Management,110-190K,strategic marketing leadership budget management brand strategy analytics team management
Chief Marketing Officer,Marketing & Sales,MBA|Master's in Marketing,10,Strategic Leadership|Brand Vision|Executive Communication|P&L Management|Market Strategy|Team Leadership,150-300K,strategic leadership brand vision executive communication pl management market strategy team leadership
CMO,Marketing & Sales,MBA,10,Strategic Leadership|Brand Management|Executive Communication|Market Intelligence|Digital Transformation|Vision,150-300K,strategic leadership brand management executive communication market intelligence digital transformation vision
Operations Manager,Operations & Supply Chain,Bachelor's in Operations Management|Bachelor's in Business,3,Process Management|Efficiency Optimization|Leadership|Quality Control|Project Management|Data Analysis,65-120K,process management efficiency optimization leadership quality control project management data analysis
Supply Chain Manager,Operations & Supply Chain,Bachelor's in Supply Chain Management|Bachelor's in Logistics,3,Supply Chain Strategy|Procurement|Vendor Management|Forecasting|Inventory Management|Analytics,70-130K,supply chain strategy procurement vendor management forecasting inventory management analytics
Logistics Manager,Operations & Supply Chain,Bachelor's in Logistics|Bachelor's in Business,2,Logistics Planning|Distribution|Fleet Management|Cost Optimization|Supplier Management|Software,60-115K,logistics planning distribution fleet management cost optimization supplier management software
Warehouse Manager,Operations & Supply Chain,Bachelor's in Logistics|High School with experience,2,Warehouse Management|Inventory Control|Staff Management|Safety|Organization|Problem Solving,55-95K,warehouse management inventory control staff management safety organization problem solving
Quality Assurance Manager,Operations & Supply Chain,Bachelor's in Engineering|Quality Certification,3,Quality Management|Process Improvement|Statistical Analysis|Compliance|Leadership|Problem Solving,65-120K,quality management process improvement statistical analysis compliance leadership problem solving
Process Improvement Manager,Operations & Supply Chain,Bachelor's in Engineering|Bachelor's in Business,3,Lean Manufacturing|Six Sigma|Process Analysis|Data Analysis|Leadership|Change Management,68-125K,lean manufacturing six sigma process analysis data analysis leadership change management
Procurement Manager,Operations & Supply Chain,Bachelor's in Business|Bachelor's in Supply Chain,3,Procurement Strategy|Vendor Management|Negotiation|Cost Analysis|Compliance|Strategic Sourcing,70-130K,procurement strategy vendor management negotiation cost analysis compliance strategic sourcing
Demand Planner,Operations & Supply Chain,Bachelor's in Operations|Bachelor's in Analytics,2,Demand Forecasting|Statistical Analysis|ERP Systems|Supply Planning|Data Analysis|Excel,60-110K,demand forecasting statistical analysis erp system supply planning data analysis excel
Production Manager,Operations & Supply Chain,Bachelor's in Engineering|Bachelor's in Operations,3,Production Planning|Staff Management|Quality Control|Equipment Maintenance|Safety|Problem Solving,65-120K,production planning staff management quality control equipment maintenance safety problem solving
Mechanical Engineer,Engineering & Manufacturing,Bachelor's in Mechanical Engineering,1,CAD|Mechanical Design|Physics|Thermodynamics|Problem Solving|Technical Documentation,65-125K,cad mechanical design physic thermodynamics problem solving technical documentation
Civil Engineer,Engineering & Manufacturing,Bachelor's in Civil Engineering,2,CAD|Project Management|Structural Analysis|Building Codes|AutoCAD|Technical Design,65-125K,cad project management structural analysis building code autocad technical design
Electrical Engineer,Engineering & Manufacturing,Bachelor's in Electrical Engineering,2,Circuit Design|Electrical Systems|CAD|Power Systems|Troubleshooting|Technical Knowledge,70-130K,circuit design electrical system cad power system troubleshooting technical knowledge
Electronics Engineer,Engineering & Manufacturing,Bachelor's in Electronics Engineering,1,Circuit Design|Embedded Systems|Microcontrollers|CAD|Hardware Design|PCB Design,65-120K,circuit design embedded system microcontrollers cad hardware design pcb design
Embedded Systems Engineer,Engineering & Manufacturing,Bachelor's in Electronics Engineering|Bachelor's in Computer Engineering,2,C/C++|Embedded Linux|Hardware|Microcontrollers|Real-time Systems|Low-level Programming,70-130K,c c embedded linux hardware microcontrollers realtime system lowlevel programming
Chemical Engineer,Engineering & Manufacturing,Bachelor's in Chemical Engineering,2,Chemical Processes|Safety|Data Analysis|Thermochemistry|Process Design|Laboratory Skills,70-135K,chemical process safety data analysis thermochemistry process design laboratory skill
Manufacturing Engineer,Engineering & Manufacturing,Bachelor's in Manufacturing Engineering|Bachelor's in Mechanical Engineering,2,Process Design|CAD|Production Planning|Quality Control|Problem Solving|Equipment Knowledge,65-120K,process design cad production planning quality control problem solving equipment knowledge
Automotive Engineer,Engineering & Manufacturing,Bachelor's in Automotive Engineering|Bachelor's in Mechanical Engineering,2,CAD|Vehicle Systems|Thermal Systems|Materials|Testing|Problem Solving,70-130K,cad vehicle system thermal system material testing problem solving
Aerospace Engineer,Engineering & Manufacturing,Bachelor's in Aerospace Engineering,2,CAD|Aerodynamics|Structural Analysis|MATLAB|Physics|Design,75-140K,cad aerodynamics structural analysis matlab physic design
Environmental Engineer,Engineering & Manufacturing,Bachelor's in Environmental Engineering,2,Environmental Assessment|Regulations|Water Systems|Waste Management|Sustainability|Analysis,65-125K,environmental assessment regulation water system waste management sustainability analysis
Structural Engineer,Engineering & Manufacturing,Bachelor's in Civil Engineering,3,Structural Analysis|CAD|Building Codes|Materials|Calculations|Design,70-135K,structural analysis cad building code material calculation design
Project Engineer,Engineering & Manufacturing,Bachelor's in Engineering,2,Project Management|Technical Knowledge|Documentation|Coordination|Problem Solving|Communication,65-120K,project management technical knowledge documentation coordination problem solving communication
Project Manager,Construction & Real Estate,Bachelor's in Project Management|Bachelor's in Business,3,Project Management|Budget Control|Timeline Management|Team Leadership|Risk Management|Communication,70-130K,project management budget control timeline management team leadership risk management communication
Construction Manager,Construction & Real Estate,Bachelor's in Construction Management,3,Project Management|Construction Knowledge|Safety|Budget Control|Contractor Management|Compliance,75-140K,project management construction knowledge safety budget control contractor management compliance
Real Estate Agent,Construction & Real Estate,High School|Real Estate License,0,Sales|Customer Service|Marketing|Negotiation|Property Knowledge|Communication,40-100K,sale customer service marketing negotiation property knowledge communication
Real Estate Broker,Construction & Real Estate,Bachelor's in Business|Broker License,5,Sales Leadership|Real Estate Knowledge|Negotiation|Business Development|Team Management|Communication,75-180K,sale leadership real estate knowledge negotiation business development team management communication
Architect,Construction & Real Estate,Master's in Architecture|Architecture License,3,Architectural Design|CAD|Building Codes|Creativity|Technical Knowledge|Client Communication,75-140K,architectural design cad building code creativity technical knowledge client communication
Landscape Architect,Construction & Real Estate,Bachelor's in Landscape Architecture,2,Design|CAD|Horticulture|Environmental Knowledge|Creativity|Technical Skills,60-120K,design cad horticulture environmental knowledge creativity technical skill
Teacher,Education & Training,Bachelor's in Education|Teaching Credential,0,Instruction|Curriculum Development|Student Assessment|Communication|Classroom Management|Patience,40-80K,instruction curriculum development student assessment communication classroom management patience
College Professor,Education & Training,Master's or PhD in subject area,3,Research|Teaching|Publication|Mentoring|Subject Matter Expertise|Communication,65-140K,research teaching publication mentoring subject matter expertise communication
Training Manager,Education & Training,Bachelor's in Education|Training Certification,3,Program Design|Leadership|Instruction|Evaluation|Curriculum Development|Communication,65-115K,program design leadership instruction evaluation curriculum development communication
Instructional Designer,Education & Training,Bachelor's in Education|Master's in Instructional Design,2,Course Development|Adult Learning|Technology|E-Learning|Assessment|Creativity,60-110K,course development adult learning technology elearning assessment creativity
School Principal,Education & Training,Master's in Education|Administrative Certificate,5,Educational Leadership|Management|Budgeting|Staff Management|Community Relations|Vision,75-125K,educational leadership management budgeting staff management community relation vision
Academic Advisor,Education & Training,Bachelor's in Education|Bachelor's in Counseling,1,Academic Planning|Student Support|Counseling|Communication|Problem Solving|Organization,45-80K,academic planning student support counseling communication problem solving organization
Nurse,Healthcare,Bachelor's in Nursing|RN License,0,Patient Care|Medical Knowledge|Communication|Critical Thinking|Compassion|Attention to Detail,60-100K,patient care medical knowledge communication critical thinking compassion attention detail
Registered Nurse,Healthcare,Bachelor's in Nursing|RN License,1,Nursing Care|Patient Monitoring|Medical Records|Communication|Critical Thinking|Clinical Skills,65-110K,nursing care patient monitoring medical record communication critical thinking clinical skill
Nursing Manager,Healthcare,Master's in Nursing|RN License,5,Nursing Leadership|Staff Management|Patient Safety|Budget Management|Communication|Clinical Knowledge,85-140K,nursing leadership staff management patient safety budget management communication clinical knowledge
Physician,Healthcare,Medical Degree|License to Practice,3,Medical Knowledge|Diagnosis|Treatment|Patient Communication|Decision Making|Empathy,180-300K,medical knowledge diagnosis treatment patient communication decision making empathy
Surgeon,Healthcare,Medical Degree|Surgical Specialty Training|License,5,Surgical Expertise|Precision|Problem Solving|Patient Care|Research|Technical Skills,250-500K,surgical expertise precision problem solving patient care research technical skill
Pharmacist,Healthcare,Doctor of Pharmacy|Pharmacy License,1,Pharmacy Knowledge|Patient Counseling|Drug Interactions|Attention to Detail|Communication|Accuracy,110-160K,pharmacy knowledge patient counseling drug interaction attention detail communication accuracy
Physical Therapist,Healthcare,Doctor of Physical Therapy|PT License,1,Physical Therapy|Patient Assessment|Exercise Prescription|Communication|Anatomy Knowledge|Compassion,85-140K,physical therapy patient assessment exercise prescription communication anatomy knowledge compassion
Occupational Therapist,Healthcare,Master's in Occupational Therapy|OT License,1,Occupational Therapy|Patient Assessment|Treatment Planning|Communication|Problem Solving|Empathy,80-130K,occupational therapy patient assessment treatment planning communication problem solving empathy
Medical Technologist,Healthcare,Bachelor's in Medical Technology|Certification,1,Lab Testing|Quality Control|Analysis|Attention to Detail|Equipment Operation|Accuracy,55-95K,lab testing quality control analysis attention detail equipment operation accuracy
Healthcare Administrator,Healthcare,Master's in Healthcare Administration,3,Healthcare Management|Budget Control|Leadership|Compliance|Strategic Planning|Communication,85-150K,healthcare management budget control leadership compliance strategic planning communication
Clinical Lab Scientist,Healthcare,Bachelor's in Clinical Laboratory Science,1,Laboratory Analysis|Quality Control|Equipment Maintenance|Data Analysis|Attention to Detail|Safety,60-110K,laboratory analysis quality control equipment maintenance data analysis attention detail safety
Radiographer,Healthcare,Associate in Radiography|Radiography License,1,Imaging Technology|Patient Care|Radiation Safety|Technical Skills|Communication|Attention to Detail,60-105K,imaging technology patient care radiation safety technical skill communication attention detail
Dentist,Healthcare,Doctor of Dental Surgery|Dental License,1,Dental Procedures|Patient Communication|Diagnosis|Attention to Detail|Compassion|Clinical Skills,150-200K,dental procedure patient communication diagnosis attention detail compassion clinical skill
Psychologist,Healthcare,Master's or PhD in Psychology,2,Psychological Assessment|Counseling|Research|Patient Communication|Critical Thinking|Empathy,70-130K,psychological assessment counseling research patient communication critical thinking empathy
Psychiatrist,Healthcare,Medical Degree|Psychiatry Residency|License,5,Psychiatric Diagnosis|Treatment Planning|Patient Communication|Medical Knowledge|Problem Solving|Empathy,200-350K,psychiatric diagnosis treatment planning patient communication medical knowledge problem solving empathy
